City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Victoria,HK,82.45,overcast clouds,22.2855,114.1577,Mini Central
9,Saint-Philippe,RE,76.59,few clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
11,Carnarvon,AU,76.28,few clouds,-24.8667,113.6333,Hospitality Carnarvon
21,Rikitea,PF,75.56,light rain,-23.1203,-134.9692,People ThankYou
23,Pahrump,US,71.26,clear sky,36.2083,-115.9839,Best Western Pahrump Oasis
26,Bengkulu,ID,84.61,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
27,Atuona,PF,77.61,light rain,-9.8,-139.0333,Villa Enata
29,Maryville,US,73.6,clear sky,35.7565,-83.9705,"Holiday Inn Express & Suites Alcoa (Knoxville Airport), an IHG Hotel"
30,Alofi,NU,79.34,few clouds,-19.0595,-169.9187,Taloa Heights
33,Vaini,TO,77.16,broken clouds,-21.2,-175.2,Keleti Beach Resort
34,Esperance,AU,75.04,few clouds,-33.8667,121.9,Hospitality Esperance
44,Naze,JP,77.92,broken clouds,28.3667,129.4833,Shishime Hotel
47,Meulaboh,ID,83.84,light rain,4.1363,96.1285,Kost Pria
48,Cabo San Lucas,MX,73.62,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
50,Ciudad Bolivar,VE,79.47,scattered clouds,8.1222,-63.5497,Hotel Edi
52,Matamoros,MX,76.41,clear sky,25.5333,-103.25,Quinta Belem
54,Butaritari,KI,81.72,light rain,3.0707,172.7902,Isles Sunset Lodge
56,Gela,IT,71.28,clear sky,37.0803,14.2307,B&B Santiago
60,Kirakira,SB,83.75,few clouds,-10.4544,161.9205,SanBiz Lodge
64,Avarua,CK,75.25,broken clouds,-21.2078,-159.775,Paradise Inn
67,Barcelona,ES,78.71,clear sky,41.3888,2.159,Axel Hotel Barcelona
69,Benjamin Hill,MX,71.73,broken clouds,30.1667,-111.1,Hotel Benjamín Hill
74,Bambous Virieux,MU,77.25,light rain,-20.3428,57.7575,Casa Tia Villa
75,Santa Isabel Do Rio Negro,BR,71.02,overcast clouds,-0.4139,-65.0192,Hotel GSA
77,Playas,EC,73.69,overcast clouds,-2.6333,-80.3833,Hostal Promenade
80,Takoradi,GH,74.37,moderate rain,4.8845,-1.7554,Raybow International Hotel
81,Puerto Ayora,EC,71.08,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
82,Faanui,PF,80.8,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
84,Mahebourg,MU,77.29,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
85,Salalah,OM,86.09,broken clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
88,Bethel,US,72.34,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
94,Paoua,CF,70.07,overcast clouds,7.2427,16.4406,Quartier Paoua Elien
