City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Sao Filipe,CV,2022-05-21 18:36:19,14.8961,-24.4956,72.9,79,52,13.22
1,Bundaberg,AU,2022-05-21 18:32:15,-24.85,152.35,64.22,98,100,3.0
2,Puerto Ayora,EC,2022-05-21 18:27:28,-0.7393,-90.3518,76.96,91,71,10.0
3,Cape Town,ZA,2022-05-21 18:27:11,-33.9258,18.4232,59.11,79,0,2.3
4,Ushuaia,AR,2022-05-21 18:27:14,-54.8,-68.3,42.46,65,40,11.5
5,Ussel,FR,2022-05-21 18:36:20,45.55,2.3167,71.15,70,77,0.43
6,Rikitea,PF,2022-05-21 18:27:16,-23.1203,-134.9692,75.18,74,8,6.91
7,Yuzhno-Kurilsk,RU,2022-05-21 18:36:21,44.0306,145.8556,48.54,99,100,8.59
8,Sena Madureira,BR,2022-05-21 18:36:22,-9.0656,-68.6569,89.2,43,37,2.59
9,Camacha,PT,2022-05-21 18:34:35,33.0833,-16.3333,65.62,68,20,16.11
10,Hermanus,ZA,2022-05-21 18:29:51,-34.4187,19.2345,58.57,74,36,5.01
11,Itarema,BR,2022-05-21 18:30:08,-2.9248,-39.9167,81.79,77,3,9.69
12,Avarua,CK,2022-05-21 18:28:32,-21.2078,-159.775,73.45,88,40,1.14
13,Sept-Iles,CA,2022-05-21 18:36:03,50.2001,-66.3821,47.05,90,100,9.22
14,Georgetown,MY,2022-05-21 18:26:59,5.4112,100.3354,81.95,89,20,2.3
15,Petropavlovsk-Kamchatskiy,RU,2022-05-21 18:32:09,53.0452,158.6483,37.99,100,100,2.24
16,Yima,CN,2022-05-21 18:36:23,34.7381,111.8839,66.13,48,100,0.31
17,Rocha,UY,2022-05-21 18:36:24,-34.4833,-54.3333,62.73,61,100,7.11
18,Cairns,AU,2022-05-21 18:36:24,-16.9167,145.7667,75.15,82,100,11.5
19,Quang Ngai,VN,2022-05-21 18:35:54,15.1167,108.8,77.16,92,100,2.77
20,Hilo,US,2022-05-21 18:24:33,19.7297,-155.09,76.62,82,100,4.61
21,Opuwo,NA,2022-05-21 18:36:25,-18.0607,13.84,59.09,13,0,6.6
22,Albany,US,2022-05-21 18:28:45,42.6001,-73.9662,91.17,58,43,5.64
23,Victoria,HK,2022-05-21 18:33:26,22.2855,114.1577,78.85,88,100,15.01
24,Cayenne,GF,2022-05-21 18:36:26,4.9333,-52.3333,81.09,1,75,12.66
25,Hobart,AU,2022-05-21 18:28:37,-42.8794,147.3294,44.46,89,100,9.22
26,Khatanga,RU,2022-05-21 18:24:15,71.9667,102.5,35.47,98,100,6.17
27,Castro,BR,2022-05-21 18:28:45,-24.7911,-50.0119,64.8,37,29,2.89
28,Haverfordwest,GB,2022-05-21 18:36:27,51.8017,-4.9691,59.05,79,10,5.01
29,Ewa Beach,US,2022-05-21 18:32:45,21.3156,-158.0072,80.55,80,75,3.44
30,Punta Arenas,CL,2022-05-21 18:26:43,-53.15,-70.9167,42.91,65,0,17.27
31,Airai,TL,2022-05-21 18:36:28,-8.9266,125.4092,57.47,90,23,3.62
32,Tasiilaq,GL,2022-05-21 18:31:18,65.6145,-37.6368,37.56,72,100,4.43
33,Berezovka,BY,2022-05-21 18:36:29,53.7214,25.4993,48.24,93,100,19.33
34,Terney,RU,2022-05-21 18:36:29,45.0503,136.6092,49.89,98,100,1.41
35,Flinders,AU,2022-05-21 18:30:05,-34.5833,150.8552,56.17,93,100,4.0
36,Mataura,NZ,2022-05-21 18:27:27,-46.1927,168.8643,46.31,96,100,11.12
37,Aldan,RU,2022-05-21 18:36:30,58.6031,125.3894,32.47,91,29,6.24
38,Kaputa,ZM,2022-05-21 18:36:30,-8.4689,29.6619,70.66,67,100,3.71
39,Klaksvik,FO,2022-05-21 18:27:20,62.2266,-6.589,49.12,87,98,15.1
40,Sudak,UA,2022-05-21 18:36:31,44.85,34.9667,56.57,75,75,11.05
41,Carnarvon,AU,2022-05-21 18:30:04,-24.8667,113.6333,71.28,63,100,5.44
42,Kwinana,AU,2022-05-21 18:38:19,-32.25,115.7667,55.69,72,0,8.1
43,Kapaa,US,2022-05-21 18:31:21,22.0752,-159.319,78.78,97,75,5.75
44,Lichuan,CN,2022-05-21 18:38:19,30.3,108.85,57.43,85,100,1.74
45,Asau,RO,2022-05-21 18:31:24,46.4333,26.4,72.52,79,8,5.75
46,Codrington,AU,2022-05-21 18:38:20,-38.2667,141.9667,43.57,93,6,7.29
47,Pisco,PE,2022-05-21 18:34:44,-13.7,-76.2167,68.02,77,77,12.66
48,Jacareacanga,BR,2022-05-21 18:38:20,-6.2222,-57.7528,89.31,43,20,3.13
49,Lasa,IT,2022-05-21 18:38:21,46.6166,10.7002,70.68,61,75,6.13
50,San Cristobal,VE,2022-05-21 18:38:21,7.7669,-72.225,78.98,45,100,9.22
51,Punta Arenas,CL,2022-05-21 18:26:43,-53.15,-70.9167,42.91,65,0,17.27
52,Termini Imerese,IT,2022-05-21 18:38:22,37.9837,13.6956,67.48,66,0,2.91
53,Ushuaia,AR,2022-05-21 18:37:50,-54.8,-68.3,42.46,65,40,11.5
54,Hithadhoo,MV,2022-05-21 18:35:28,-0.6,73.0833,83.05,70,12,8.21
55,Nanortalik,GL,2022-05-21 18:38:23,60.1432,-45.2371,39.7,77,89,5.39
56,Lakeside,US,2022-05-21 18:38:23,30.13,-81.7682,89.92,64,100,13.8
57,Coihaique,CL,2022-05-21 18:38:23,-45.5752,-72.0662,40.95,87,100,8.05
58,Aklavik,CA,2022-05-21 18:38:24,68.2191,-135.0107,33.8,86,100,8.05
59,Vaini,TO,2022-05-21 18:38:24,-21.2,-175.2,69.96,94,75,4.61
60,Lorengau,PG,2022-05-21 18:38:25,-2.0226,147.2712,82.0,78,100,7.27
61,Saint-Philippe,RE,2022-05-21 18:28:47,-21.3585,55.7679,71.19,79,52,12.21
62,Nikolskoye,RU,2022-05-21 18:38:25,59.7035,30.7861,49.89,56,5,9.84
63,Bluff,NZ,2022-05-21 18:38:26,-46.6,168.3333,50.34,80,100,29.48
64,Moranbah,AU,2022-05-21 18:38:26,-22.0016,148.0466,60.76,91,100,17.83
65,Albany,US,2022-05-21 18:28:45,42.6001,-73.9662,91.17,58,43,5.64
66,Belyy Yar,RU,2022-05-21 18:38:27,53.6039,91.3903,53.49,62,0,2.24
67,Inyonga,TZ,2022-05-21 18:38:27,-6.7167,32.0667,68.11,65,100,3.09
68,Karratha,AU,2022-05-21 18:38:28,-20.7377,116.8463,76.75,76,98,5.03
69,Port Macquarie,AU,2022-05-21 18:38:29,-31.4333,152.9167,58.89,94,100,4.61
70,Pacifica,US,2022-05-21 18:38:29,37.6138,-122.4869,82.4,67,20,12.66
71,Puerto Escondido,MX,2022-05-21 18:38:29,15.85,-97.0667,86.83,70,0,9.22
72,Avarua,CK,2022-05-21 18:28:32,-21.2078,-159.775,73.45,88,40,1.14
73,Puerto Ayora,EC,2022-05-21 18:38:30,-0.7393,-90.3518,76.96,91,63,8.01
74,Berbera,SO,2022-05-21 18:38:30,10.4396,45.0143,93.69,36,11,4.27
75,Jamestown,US,2022-05-21 18:29:44,42.097,-79.2353,86.52,65,40,9.22
76,Kavieng,PG,2022-05-21 18:38:31,-2.5744,150.7967,81.99,71,100,10.96
77,Nagato,JP,2022-05-21 18:38:32,34.3833,131.2,57.2,80,0,5.79
78,Carnarvon,AU,2022-05-21 18:30:04,-24.8667,113.6333,71.28,63,100,5.44
79,Balabac,PH,2022-05-21 18:38:32,7.9868,117.0645,82.13,78,100,8.19
80,Xiongzhou,CN,2022-05-21 18:38:33,25.1167,114.3,67.19,92,100,2.17
81,Rio Gallegos,AR,2022-05-21 18:38:33,-51.6226,-69.2181,45.61,46,24,12.66
82,Dikson,RU,2022-05-21 18:31:25,73.5069,80.5464,27.41,95,100,8.5
83,Ancud,CL,2022-05-21 18:31:26,-41.8697,-73.8203,54.19,91,100,26.53
84,Hilo,US,2022-05-21 18:24:33,19.7297,-155.09,76.62,82,100,4.61
85,Bathsheba,BB,2022-05-21 18:38:34,13.2167,-59.5167,86.61,66,20,19.57
86,Geraldton,AU,2022-05-21 18:38:34,-28.7667,114.6,55.81,94,60,9.22
87,Port Hedland,AU,2022-05-21 18:31:28,-20.3167,118.5667,73.45,100,100,0.0
88,Yar-Sale,RU,2022-05-21 18:35:26,66.8333,70.8333,31.1,80,100,13.78
89,Port Elizabeth,ZA,2022-05-21 18:35:21,-33.918,25.5701,60.31,86,0,4.61
90,Port Alfred,ZA,2022-05-21 18:35:23,-33.5906,26.891,55.18,93,11,3.49
91,Rikitea,PF,2022-05-21 18:36:00,-23.1203,-134.9692,75.24,74,12,6.6
92,Atuona,PF,2022-05-21 18:35:00,-9.8,-139.0333,77.67,76,14,11.03
93,Bredasdorp,ZA,2022-05-21 18:39:36,-34.5322,20.0403,53.47,82,11,5.7
94,Longyearbyen,SJ,2022-05-21 18:39:36,78.2186,15.6401,37.24,70,75,5.75
95,Dingle,PH,2022-05-21 18:39:37,10.9995,122.6711,76.33,91,86,2.75
96,Souillac,MU,2022-05-21 18:31:19,-20.5167,57.5167,75.58,73,40,11.5
97,Broken Hill,AU,2022-05-21 18:39:37,-31.95,141.4333,54.41,89,98,11.39
98,Dehloran,IR,2022-05-21 18:39:38,32.6941,47.2679,84.04,8,35,7.49
99,Numaran,MX,2022-05-21 18:39:38,20.25,-101.9333,92.57,13,0,5.41
100,Hinova,RO,2022-05-21 18:39:39,44.5406,22.7769,71.44,62,99,11.1
101,Busselton,AU,2022-05-21 18:39:39,-33.65,115.3333,59.85,75,0,9.08
102,Ribeira Grande,PT,2022-05-21 18:39:40,38.5167,-28.7,64.8,100,100,5.75
103,Cabo San Lucas,MX,2022-05-21 18:27:04,22.8909,-109.9124,84.61,53,0,11.5
104,Santa Barbara,US,2022-05-21 18:39:40,34.7333,-120.0343,73.35,50,0,9.22
105,Mataura,NZ,2022-05-21 18:39:41,-46.1927,168.8643,46.22,95,100,11.43
106,Tambura,SS,2022-05-21 18:39:41,5.6,27.4667,69.64,97,100,4.83
107,Gloversville,US,2022-05-21 18:39:42,43.0528,-74.3438,89.98,66,0,6.91
108,Torbay,CA,2022-05-21 18:29:55,47.6666,-52.7314,63.37,34,20,6.91
109,Thompson,CA,2022-05-21 18:39:42,55.7435,-97.8558,46.56,25,20,11.5
110,Presque Isle,US,2022-05-21 18:38:19,46.6811,-68.0159,65.03,76,100,10.36
111,Bambous Virieux,MU,2022-05-21 18:35:22,-20.3428,57.7575,75.45,73,40,11.5
